(4, 512, 512)
Starting random mask  training on 0 using ADAM(sigma=0.1,lr=0.01,decay=0,beta=0)
Noisy PSNR is '22.73454492284599'
1.1.1.weight         | nonzeros =   11519 /   12800             ( 89.99%) | total_pruned =    1281 | shape = torch.Size([16, 32, 5, 5])
1.7.1.7.1.7.1.7.1.5.weight | nonzeros =     114 /     128             ( 89.06%) | total_pruned =      14 | shape = torch.Size([128])
1.7.1.7.1.7.1.7.1.5.bias | nonzeros =       0 /     128             (  0.00%) | total_pruned =     128 | shape = torch.Size([128])
1.7.1.7.1.7.1.7.1.7.1.1.1.weight | nonzeros =  368639 /  409600             ( 90.00%) | total_pruned =   40961 | shape = torch.Size([128, 128, 5, 5])
1.7.1.7.1.7.1.7.1.7.1.1.1.bias | nonzeros =     111 /     128             ( 86.72%) | total_pruned =      17 | shape = torch.Size([128])
1.7.1.7.1.7.1.7.1.7.1.2.weight | nonzeros =     114 /     128             ( 89.06%) | total_pruned =      14 | shape = torch.Size([128])
1.7.1.7.1.7.1.7.1.7.1.2.bias | nonzeros =       0 /     128             (  0.00%) | total_pruned =     128 | shape = torch.Size([128])
1.7.1.7.1.7.1.7.1.7.1.4.1.weight | nonzeros =  368639 /  409600             ( 90.00%) | total_pruned =   40961 | shape = torch.Size([128, 128, 5, 5])
1.7.1.7.1.7.1.7.1.7.1.4.1.bias | nonzeros =     105 /     128             ( 82.03%) | total_pruned =      23 | shape = torch.Size([128])
1.7.1.7.1.7.1.7.1.7.1.5.weight | nonzeros =     114 /     128             ( 89.06%) | total_pruned =      14 | shape = torch.Size([128])
1.7.1.7.1.7.1.7.1.7.1.5.bias | nonzeros =       0 /     128             (  0.00%) | total_pruned =     128 | shape = torch.Size([128])
1.7.1.7.1.7.1.7.1.7.2.weight | nonzeros =     114 /     128             ( 89.06%) | total_pruned =      14 | shape = torch.Size([128])
1.7.1.7.1.7.1.7.1.7.2.bias | nonzeros =       0 /     128             (  0.00%) | total_pruned =     128 | shape = torch.Size([128])
1.7.1.7.1.7.1.7.1.7.3.1.weight | nonzeros =  132709 /  147456             ( 90.00%) | total_pruned =   14747 | shape = torch.Size([128, 128, 3, 3])
1.7.1.7.1.7.1.7.1.7.3.1.bias | nonzeros =     111 /     128             ( 86.72%) | total_pruned =      17 | shape = torch.Size([128])
1.7.1.7.1.7.1.7.1.7.4.weight | nonzeros =     114 /     128             ( 89.06%) | total_pruned =      14 | shape = torch.Size([128])
1.7.1.7.1.7.1.7.1.7.4.bias | nonzeros =       0 /     128             (  0.00%) | total_pruned =     128 | shape = torch.Size([128])
1.7.1.7.1.7.1.7.2.weight | nonzeros =     114 /     128             ( 89.06%) | total_pruned =      14 | shape = torch.Size([128])
1.7.1.7.1.7.1.7.2.bias | nonzeros =       0 /     128             (  0.00%) | total_pruned =     128 | shape = torch.Size([128])
1.7.1.7.1.7.1.7.3.1.weight | nonzeros =  132709 /  147456             ( 90.00%) | total_pruned =   14747 | shape = torch.Size([128, 128, 3, 3])
1.7.1.7.1.7.1.7.3.1.bias | nonzeros =     114 /     128             ( 89.06%) | total_pruned =      14 | shape = torch.Size([128])
1.7.1.7.1.7.1.7.4.weight | nonzeros =     114 /     128             ( 89.06%) | total_pruned =      14 | shape = torch.Size([128])
1.7.1.7.1.7.1.7.4.bias | nonzeros =       0 /     128             (  0.00%) | total_pruned =     128 | shape = torch.Size([128])
1.7.1.7.1.7.2.weight | nonzeros =     114 /     128             ( 89.06%) | total_pruned =      14 | shape = torch.Size([128])
1.7.1.7.1.7.2.bias   | nonzeros =       0 /     128             (  0.00%) | total_pruned =     128 | shape = torch.Size([128])
1.7.1.7.1.7.3.1.weight | nonzeros =  132709 /  147456             ( 90.00%) | total_pruned =   14747 | shape = torch.Size([128, 128, 3, 3])
1.7.1.7.1.7.3.1.bias | nonzeros =     113 /     128             ( 88.28%) | total_pruned =      15 | shape = torch.Size([128])
1.7.1.7.1.7.4.weight | nonzeros =     114 /     128             ( 89.06%) | total_pruned =      14 | shape = torch.Size([128])
1.7.1.7.1.7.4.bias   | nonzeros =       0 /     128             (  0.00%) | total_pruned =     128 | shape = torch.Size([128])
1.7.1.7.2.weight     | nonzeros =     114 /     128             ( 89.06%) | total_pruned =      14 | shape = torch.Size([128])
1.7.1.7.2.bias       | nonzeros =       0 /     128             (  0.00%) | total_pruned =     128 | shape = torch.Size([128])
1.7.1.7.3.1.weight   | nonzeros =   66354 /   73728             ( 90.00%) | total_pruned =    7374 | shape = torch.Size([64, 128, 3, 3])
1.7.1.7.3.1.bias     | nonzeros =      49 /      64             ( 76.56%) | total_pruned =      15 | shape = torch.Size([64])
1.7.1.7.4.weight     | nonzeros =      56 /      64             ( 87.50%) | total_pruned =       8 | shape = torch.Size([64])
1.7.1.7.4.bias       | nonzeros =       0 /      64             (  0.00%) | total_pruned =      64 | shape = torch.Size([64])
1.7.2.weight         | nonzeros =      56 /      64             ( 87.50%) | total_pruned =       8 | shape = torch.Size([64])
1.7.2.bias           | nonzeros =       0 /      64             (  0.00%) | total_pruned =      64 | shape = torch.Size([64])
1.7.3.1.weight       | nonzeros =   16587 /   18432             ( 89.99%) | total_pruned =    1845 | shape = torch.Size([32, 64, 3, 3])
1.7.3.1.bias         | nonzeros =      27 /      32             ( 84.38%) | total_pruned =       5 | shape = torch.Size([32])
1.7.4.weight         | nonzeros =      27 /      32             ( 84.38%) | total_pruned =       5 | shape = torch.Size([32])
1.7.4.bias           | nonzeros =       0 /      32             (  0.00%) | total_pruned =      32 | shape = torch.Size([32])
2.weight             | nonzeros =      27 /      32             ( 84.38%) | total_pruned =       5 | shape = torch.Size([32])
2.bias               | nonzeros =       0 /      32             (  0.00%) | total_pruned =      32 | shape = torch.Size([32])
3.1.weight           | nonzeros =    4146 /    4608             ( 89.97%) | total_pruned =     462 | shape = torch.Size([16, 32, 3, 3])
3.1.bias             | nonzeros =      13 /      16             ( 81.25%) | total_pruned =       3 | shape = torch.Size([16])
4.weight             | nonzeros =      13 /      16             ( 81.25%) | total_pruned =       3 | shape = torch.Size([16])
4.bias               | nonzeros =       0 /      16             (  0.00%) | total_pruned =      16 | shape = torch.Size([16])
6.1.weight           | nonzeros =      42 /      48             ( 87.50%) | total_pruned =       6 | shape = torch.Size([3, 16, 1, 1])
6.1.bias             | nonzeros =       1 /       3             ( 33.33%) | total_pruned =       2 | shape = torch.Size([3])
alive: 2705944, pruned : 302923, total: 3008867, Compression rate :       1.11x  ( 10.07% pruned)
(3, 256, 256)
Starting random mask  training on 0 using ADAM(sigma=0.1,lr=0.01,decay=0,beta=0)
Noisy PSNR is '19.811767540583325'
1.1.1.weight         | nonzeros =   11519 /   12800             ( 89.99%) | total_pruned =    1281 | shape = torch.Size([16, 32, 5, 5])
1.1.1.bias           | nonzeros =      13 /      16             ( 81.25%) | total_pruned =       3 | shape = torch.Size([16])
1.2.weight           | nonzeros =      13 /      16             ( 81.25%) | total_pruned =       3 | shape = torch.Size([16])
1.2.bias             | nonzeros =       0 /      16             (  0.00%) | total_pruned =      16 | shape = torch.Size([16])
1.4.1.weight         | nonzeros =    5759 /    6400             ( 89.98%) | total_pruned =     641 | shape = torch.Size([16, 16, 5, 5])
1.4.1.bias           | nonzeros =      13 /      16             ( 81.25%) | total_pruned =       3 | shape = torch.Size([16])
1.5.weight           | nonzeros =      13 /      16             ( 81.25%) | total_pruned =       3 | shape = torch.Size([16])
1.5.bias             | nonzeros =       0 /      16             (  0.00%) | total_pruned =      16 | shape = torch.Size([16])
1.7.1.1.1.weight     | nonzeros =   11519 /   12800             ( 89.99%) | total_pruned =    1281 | shape = torch.Size([32, 16, 5, 5])
1.7.1.1.1.bias       | nonzeros =      23 /      32             ( 71.88%) | total_pruned =       9 | shape = torch.Size([32])
1.7.1.2.weight       | nonzeros =      27 /      32             ( 84.38%) | total_pruned =       5 | shape = torch.Size([32])
1.7.1.2.bias         | nonzeros =       0 /      32             (  0.00%) | total_pruned =      32 | shape = torch.Size([32])
1.7.1.4.1.weight     | nonzeros =   23039 /   25600             ( 90.00%) | total_pruned =    2561 | shape = torch.Size([32, 32, 5, 5])
1.7.1.4.1.bias       | nonzeros =      25 /      32             ( 78.12%) | total_pruned =       7 | shape = torch.Size([32])
1.7.1.5.weight       | nonzeros =      27 /      32             ( 84.38%) | total_pruned =       5 | shape = torch.Size([32])
1.7.1.5.bias         | nonzeros =       0 /      32             (  0.00%) | total_pruned =      32 | shape = torch.Size([32])
1.7.1.7.1.1.1.weight | nonzeros =   46079 /   51200             ( 90.00%) | total_pruned =    5121 | shape = torch.Size([64, 32, 5, 5])
1.7.1.7.1.1.1.bias   | nonzeros =      54 /      64             ( 84.38%) | total_pruned =      10 | shape = torch.Size([64])
1.7.1.7.1.2.weight   | nonzeros =      56 /      64             ( 87.50%) | total_pruned =       8 | shape = torch.Size([64])
1.7.1.7.1.2.bias     | nonzeros =       0 /      64             (  0.00%) | total_pruned =      64 | shape = torch.Size([64])
1.7.1.7.1.4.1.weight | nonzeros =   92159 /  102400             ( 90.00%) | total_pruned =   10241 | shape = torch.Size([64, 64, 5, 5])
1.7.1.7.1.4.1.bias   | nonzeros =      56 /      64             ( 87.50%) | total_pruned =       8 | shape = torch.Size([64])
1.7.1.7.1.5.weight   | nonzeros =      56 /      64             ( 87.50%) | total_pruned =       8 | shape = torch.Size([64])
1.7.1.7.1.5.bias     | nonzeros =       0 /      64             (  0.00%) | total_pruned =      64 | shape = torch.Size([64])
1.7.1.7.1.7.1.1.1.weight | nonzeros =  184319 /  204800             ( 90.00%) | total_pruned =   20481 | shape = torch.Size([128, 64, 5, 5])
1.7.1.7.1.7.1.1.1.bias | nonzeros =     112 /     128             ( 87.50%) | total_pruned =      16 | shape = torch.Size([128])
1.7.1.7.1.7.1.2.weight | nonzeros =     114 /     128             ( 89.06%) | total_pruned =      14 | shape = torch.Size([128])
1.7.1.7.1.7.1.2.bias | nonzeros =       0 /     128             (  0.00%) | total_pruned =     128 | shape = torch.Size([128])
1.7.1.7.1.7.1.4.1.weight | nonzeros =  368639 /  409600             ( 90.00%) | total_pruned =   40961 | shape = torch.Size([128, 128, 5, 5])
1.7.1.7.1.7.1.4.1.bias | nonzeros =     103 /     128             ( 80.47%) | total_pruned =      25 | shape = torch.Size([128])
1.7.1.7.1.7.1.5.weight | nonzeros =     114 /     128             ( 89.06%) | total_pruned =      14 | shape = torch.Size([128])
1.7.1.7.1.7.1.5.bias | nonzeros =       0 /     128             (  0.00%) | total_pruned =     128 | shape = torch.Size([128])
1.7.1.7.1.7.1.7.1.1.1.weight | nonzeros =  368639 /  409600             ( 90.00%) | total_pruned =   40961 | shape = torch.Size([128, 128, 5, 5])
1.7.1.7.1.7.1.7.1.1.1.bias | nonzeros =     107 /     128             ( 83.59%) | total_pruned =      21 | shape = torch.Size([128])
1.7.1.7.1.7.1.7.1.2.weight | nonzeros =     114 /     128             ( 89.06%) | total_pruned =      14 | shape = torch.Size([128])
1.7.1.7.1.7.1.7.1.2.bias | nonzeros =       0 /     128             (  0.00%) | total_pruned =     128 | shape = torch.Size([128])
1.7.1.7.1.7.1.7.1.4.1.weight | nonzeros =  368639 /  409600             ( 90.00%) | total_pruned =   40961 | shape = torch.Size([128, 128, 5, 5])
1.7.1.7.1.7.1.7.1.4.1.bias | nonzeros =      90 /     128             ( 70.31%) | total_pruned =      38 | shape = torch.Size([128])
1.7.1.7.1.7.1.7.1.5.weight | nonzeros =     114 /     128             ( 89.06%) | total_pruned =      14 | shape = torch.Size([128])
1.7.1.7.1.7.1.7.1.5.bias | nonzeros =       0 /     128             (  0.00%) | total_pruned =     128 | shape = torch.Size([128])
1.7.1.7.1.7.1.7.1.7.1.1.1.weight | nonzeros =  368639 /  409600             ( 90.00%) | total_pruned =   40961 | shape = torch.Size([128, 128, 5, 5])
1.7.1.7.1.7.1.7.1.7.1.1.1.bias | nonzeros =     104 /     128             ( 81.25%) | total_pruned =      24 | shape = torch.Size([128])
1.7.1.7.1.7.1.7.1.7.1.2.weight | nonzeros =     114 /     128             ( 89.06%) | total_pruned =      14 | shape = torch.Size([128])
1.7.1.7.1.7.1.7.1.7.1.2.bias | nonzeros =       0 /     128             (  0.00%) | total_pruned =     128 | shape = torch.Size([128])
1.7.1.7.1.7.1.7.1.7.1.4.1.weight | nonzeros =  368639 /  409600             ( 90.00%) | total_pruned =   40961 | shape = torch.Size([128, 128, 5, 5])
1.7.1.7.1.7.1.7.1.7.1.4.1.bias | nonzeros =      93 /     128             ( 72.66%) | total_pruned =      35 | shape = torch.Size([128])
1.7.1.7.1.7.1.7.1.7.1.5.weight | nonzeros =     114 /     128             ( 89.06%) | total_pruned =      14 | shape = torch.Size([128])
1.7.1.7.1.7.1.7.1.7.1.5.bias | nonzeros =       0 /     128             (  0.00%) | total_pruned =     128 | shape = torch.Size([128])
1.7.1.7.1.7.1.7.1.7.2.weight | nonzeros =     114 /     128             ( 89.06%) | total_pruned =      14 | shape = torch.Size([128])
1.7.1.7.1.7.1.7.1.7.2.bias | nonzeros =       0 /     128             (  0.00%) | total_pruned =     128 | shape = torch.Size([128])
1.7.1.7.1.7.1.7.1.7.3.1.weight | nonzeros =  132709 /  147456             ( 90.00%) | total_pruned =   14747 | shape = torch.Size([128, 128, 3, 3])
1.7.1.7.1.7.1.7.1.7.3.1.bias | nonzeros =     102 /     128             ( 79.69%) | total_pruned =      26 | shape = torch.Size([128])
1.7.1.7.1.7.1.7.1.7.4.weight | nonzeros =     114 /     128             ( 89.06%) | total_pruned =      14 | shape = torch.Size([128])
1.7.1.7.1.7.1.7.1.7.4.bias | nonzeros =       0 /     128             (  0.00%) | total_pruned =     128 | shape = torch.Size([128])
1.7.1.7.1.7.1.7.2.weight | nonzeros =     114 /     128             ( 89.06%) | total_pruned =      14 | shape = torch.Size([128])
1.7.1.7.1.7.1.7.2.bias | nonzeros =       0 /     128             (  0.00%) | total_pruned =     128 | shape = torch.Size([128])
1.7.1.7.1.7.1.7.3.1.weight | nonzeros =  132709 /  147456             ( 90.00%) | total_pruned =   14747 | shape = torch.Size([128, 128, 3, 3])
1.7.1.7.1.7.1.7.3.1.bias | nonzeros =      99 /     128             ( 77.34%) | total_pruned =      29 | shape = torch.Size([128])
1.7.1.7.1.7.1.7.4.weight | nonzeros =     114 /     128             ( 89.06%) | total_pruned =      14 | shape = torch.Size([128])
1.7.1.7.1.7.1.7.4.bias | nonzeros =       0 /     128             (  0.00%) | total_pruned =     128 | shape = torch.Size([128])
1.7.1.7.1.7.2.weight | nonzeros =     114 /     128             ( 89.06%) | total_pruned =      14 | shape = torch.Size([128])
1.7.1.7.1.7.2.bias   | nonzeros =       0 /     128             (  0.00%) | total_pruned =     128 | shape = torch.Size([128])
1.7.1.7.1.7.3.1.weight | nonzeros =  132709 /  147456             ( 90.00%) | total_pruned =   14747 | shape = torch.Size([128, 128, 3, 3])
1.7.1.7.1.7.3.1.bias | nonzeros =     104 /     128             ( 81.25%) | total_pruned =      24 | shape = torch.Size([128])
1.7.1.7.1.7.4.weight | nonzeros =     114 /     128             ( 89.06%) | total_pruned =      14 | shape = torch.Size([128])
1.7.1.7.1.7.4.bias   | nonzeros =       0 /     128             (  0.00%) | total_pruned =     128 | shape = torch.Size([128])
1.7.1.7.2.weight     | nonzeros =     114 /     128             ( 89.06%) | total_pruned =      14 | shape = torch.Size([128])
1.7.1.7.2.bias       | nonzeros =       0 /     128             (  0.00%) | total_pruned =     128 | shape = torch.Size([128])
1.7.1.7.3.1.weight   | nonzeros =   66354 /   73728             ( 90.00%) | total_pruned =    7374 | shape = torch.Size([64, 128, 3, 3])
1.7.1.7.3.1.bias     | nonzeros =      52 /      64             ( 81.25%) | total_pruned =      12 | shape = torch.Size([64])
1.7.1.7.4.weight     | nonzeros =      56 /      64             ( 87.50%) | total_pruned =       8 | shape = torch.Size([64])
1.7.1.7.4.bias       | nonzeros =       0 /      64             (  0.00%) | total_pruned =      64 | shape = torch.Size([64])
1.7.2.weight         | nonzeros =      56 /      64             ( 87.50%) | total_pruned =       8 | shape = torch.Size([64])
1.7.2.bias           | nonzeros =       0 /      64             (  0.00%) | total_pruned =      64 | shape = torch.Size([64])
1.7.3.1.weight       | nonzeros =   16587 /   18432             ( 89.99%) | total_pruned =    1845 | shape = torch.Size([32, 64, 3, 3])
1.7.3.1.bias         | nonzeros =      24 /      32             ( 75.00%) | total_pruned =       8 | shape = torch.Size([32])
1.7.4.weight         | nonzeros =      27 /      32             ( 84.38%) | total_pruned =       5 | shape = torch.Size([32])
1.7.4.bias           | nonzeros =       0 /      32             (  0.00%) | total_pruned =      32 | shape = torch.Size([32])
2.weight             | nonzeros =      27 /      32             ( 84.38%) | total_pruned =       5 | shape = torch.Size([32])
2.bias               | nonzeros =       0 /      32             (  0.00%) | total_pruned =      32 | shape = torch.Size([32])
3.1.weight           | nonzeros =    4146 /    4608             ( 89.97%) | total_pruned =     462 | shape = torch.Size([16, 32, 3, 3])
3.1.bias             | nonzeros =      13 /      16             ( 81.25%) | total_pruned =       3 | shape = torch.Size([16])
4.weight             | nonzeros =      13 /      16             ( 81.25%) | total_pruned =       3 | shape = torch.Size([16])
4.bias               | nonzeros =       0 /      16             (  0.00%) | total_pruned =      16 | shape = torch.Size([16])
6.1.weight           | nonzeros =      42 /      48             ( 87.50%) | total_pruned =       6 | shape = torch.Size([3, 16, 1, 1])
6.1.bias             | nonzeros =       1 /       3             ( 33.33%) | total_pruned =       2 | shape = torch.Size([3])
alive: 2705885, pruned : 302982, total: 3008867, Compression rate :       1.11x  ( 10.07% pruned)
epoch:  0 loss:  0.05974789708852768 PSNR:  12.95678024816613 PSNR_noisy:  12.236774044339139
epoch:  200 loss:  0.01606389507651329 PSNR:  21.874293927555573 PSNR_noisy:  17.941491706838427
epoch:  400 loss:  0.012137897312641144 PSNR:  25.930401237606034 PSNR_noisy:  19.158565363818155
epoch:  600 loss:  0.010981133207678795 PSNR:  28.377472919940793 PSNR_noisy:  19.593528400796753
epoch:  800 loss:  0.010766163468360901 PSNR:  28.81270373404257 PSNR_noisy:  19.67939027301736
epoch:  1000 loss:  0.010404670611023903 PSNR:  29.857136129140297 PSNR_noisy:  19.827716977152406
epoch:  1200 loss:  0.010240976698696613 PSNR:  30.100098549348104 PSNR_noisy:  19.896586482424425
epoch:  1400 loss:  0.010026298463344574 PSNR:  30.27060016994581 PSNR_noisy:  19.988593600108146
epoch:  1600 loss:  0.01006083283573389 PSNR:  29.602116301941265 PSNR_noisy:  19.973660724182135
epoch:  1800 loss:  0.009816796518862247 PSNR:  29.403758965572194 PSNR_noisy:  20.080302177661338
epoch:  2000 loss:  0.00948471948504448 PSNR:  29.657515509179888 PSNR_noisy:  20.22975515581114
epoch:  2200 loss:  0.009277316741645336 PSNR:  29.195199263542676 PSNR_noisy:  20.325776080275595
epoch:  2400 loss:  0.009015345945954323 PSNR:  28.74787213538401 PSNR_noisy:  20.450176531806804
epoch:  2600 loss:  0.008736400865018368 PSNR:  27.913782742454636 PSNR_noisy:  20.58667461883512
epoch:  2800 loss:  0.008412046357989311 PSNR:  27.27821508710226 PSNR_noisy:  20.750983584165933
epoch:  3000 loss:  0.008148644119501114 PSNR:  26.72886292431226 PSNR_noisy:  20.889146775564996
epoch:  3200 loss:  0.0077096838504076 PSNR:  25.885438458018875 PSNR_noisy:  21.129634285580458
epoch:  3400 loss:  0.007184158079326153 PSNR:  25.41433012521608 PSNR_noisy:  21.436241777296004
epoch:  3600 loss:  0.006686849053949118 PSNR:  24.775287463217023 PSNR_noisy:  21.74778496560674
epoch:  3800 loss:  0.006466623395681381 PSNR:  24.235722354484956 PSNR_noisy:  21.8932241181981
epoch:  4000 loss:  0.006009487435221672 PSNR:  23.71010388794712 PSNR_noisy:  22.211625642611335
epoch:  4200 loss:  0.005711270030587912 PSNR:  23.551825262816443 PSNR_noisy:  22.432673619868766
epoch:  4400 loss:  0.005371373146772385 PSNR:  23.245807023512818 PSNR_noisy:  22.69914710680983
epoch:  4600 loss:  0.005177570041269064 PSNR:  23.08025523634665 PSNR_noisy:  22.858740602536727
epoch:  4800 loss:  0.0048811957240104675 PSNR:  22.845436400822297 PSNR_noisy:  23.11473794713244
epoch:  5000 loss:  0.004512314684689045 PSNR:  22.769368073412505 PSNR_noisy:  23.456006484170075
epoch:  5200 loss:  0.004487582482397556 PSNR:  22.625981334581486 PSNR_noisy:  23.479875525419875
epoch:  5400 loss:  0.004399392753839493 PSNR:  22.407998017304802 PSNR_noisy:  23.566072677392917
epoch:  5600 loss:  0.004020016174763441 PSNR:  22.245936211497238 PSNR_noisy:  23.95772239734022
epoch:  5800 loss:  0.004001296125352383 PSNR:  22.249677842674487 PSNR_noisy:  23.97799342357365
epoch:  6000 loss:  0.003967031370848417 PSNR:  22.273868979280202 PSNR_noisy:  24.01534347503692
epoch:  6200 loss:  0.0037892810069024563 PSNR:  22.027940921996642 PSNR_noisy:  24.21443214237174
epoch:  6400 loss:  0.0035813364665955305 PSNR:  21.97401727826538 PSNR_noisy:  24.459548894402204
epoch:  6600 loss:  0.003719107713550329 PSNR:  22.047764044281912 PSNR_noisy:  24.295612550482044
epoch:  6800 loss:  0.003422869136556983 PSNR:  21.90223350707189 PSNR_noisy:  24.65609718011362
epoch:  7000 loss:  0.003398285945877433 PSNR:  21.79395719068987 PSNR_noisy:  24.687400724735454
epoch:  7200 loss:  0.0032688728533685207 PSNR:  21.955967354631113 PSNR_noisy:  24.85601989331078
epoch:  7400 loss:  0.0033761663362383842 PSNR:  21.730698015264856 PSNR_noisy:  24.71576152846612
epoch:  7600 loss:  0.0031389473006129265 PSNR:  21.625480103624326 PSNR_noisy:  25.03215961121924
epoch:  7800 loss:  0.0031354143284261227 PSNR:  21.6126343312091 PSNR_noisy:  25.037051064481602
epoch:  8000 loss:  0.002991668414324522 PSNR:  21.683992616501566 PSNR_noisy:  25.240865701802658
epoch:  8200 loss:  0.002940000733360648 PSNR:  21.528671484768335 PSNR_noisy:  25.31652577666227
epoch:  8400 loss:  0.0029468517750501633 PSNR:  21.776420049077704 PSNR_noisy:  25.306417244256387
epoch:  8600 loss:  0.0029686796478927135 PSNR:  21.587565407614782 PSNR_noisy:  25.27436678083429
epoch:  8800 loss:  0.0030429339967668056 PSNR:  21.450445355912567 PSNR_noisy:  25.167074953516693
epoch:  9000 loss:  0.002773537067696452 PSNR:  21.411114547021715 PSNR_noisy:  25.56966042727179
epoch:  9200 loss:  0.002935076132416725 PSNR:  21.591971173999337 PSNR_noisy:  25.323806564184473
epoch:  9400 loss:  0.0027609714306890965 PSNR:  21.32924485773433 PSNR_noisy:  25.58938118503132
epoch:  9600 loss:  0.002724321559071541 PSNR:  21.39417214227848 PSNR_noisy:  25.647416285018924
epoch:  9800 loss:  0.002755260793492198 PSNR:  21.501613794750742 PSNR_noisy:  25.598372935401173
