Starting random mask  training on 5 using ADAM(sigma=0.1,lr=0.01,decay=0,beta=0)
Noisy PSNR is '20.168307867739923'
Pruning with threshold : 0.01612950675189495
1.1.1.weight         | nonzeros =    6867 /   12800             ( 53.65%) | total_pruned =    5933 | shape = torch.Size([16, 32, 5, 5])
1.7.1.7.1.7.1.7.1.7.4.weight | nonzeros =     128 /     128             (100.00%) | total_pruned =       0 | shape = torch.Size([128])
1.7.1.7.1.7.1.7.1.7.4.bias | nonzeros =       0 /     128             (  0.00%) | total_pruned =     128 | shape = torch.Size([128])
1.7.1.7.1.7.1.7.2.weight | nonzeros =     128 /     128             (100.00%) | total_pruned =       0 | shape = torch.Size([128])
1.7.1.7.1.7.1.7.2.bias | nonzeros =       0 /     128             (  0.00%) | total_pruned =     128 | shape = torch.Size([128])
1.7.1.7.1.7.1.7.3.1.weight | nonzeros =   66745 /  147456             ( 45.26%) | total_pruned =   80711 | shape = torch.Size([128, 128, 3, 3])
1.7.1.7.1.7.1.7.3.1.bias | nonzeros =      60 /     128             ( 46.88%) | total_pruned =      68 | shape = torch.Size([128])
1.7.1.7.1.7.1.7.4.weight | nonzeros =     128 /     128             (100.00%) | total_pruned =       0 | shape = torch.Size([128])
1.7.1.7.1.7.1.7.4.bias | nonzeros =       0 /     128             (  0.00%) | total_pruned =     128 | shape = torch.Size([128])
1.7.1.7.1.7.2.weight | nonzeros =     128 /     128             (100.00%) | total_pruned =       0 | shape = torch.Size([128])
1.7.1.7.1.7.2.bias   | nonzeros =       0 /     128             (  0.00%) | total_pruned =     128 | shape = torch.Size([128])
1.7.1.7.1.7.3.1.weight | nonzeros =   66927 /  147456             ( 45.39%) | total_pruned =   80529 | shape = torch.Size([128, 128, 3, 3])
1.7.1.7.1.7.3.1.bias | nonzeros =      61 /     128             ( 47.66%) | total_pruned =      67 | shape = torch.Size([128])
1.7.1.7.1.7.4.weight | nonzeros =     128 /     128             (100.00%) | total_pruned =       0 | shape = torch.Size([128])
1.7.1.7.1.7.4.bias   | nonzeros =       0 /     128             (  0.00%) | total_pruned =     128 | shape = torch.Size([128])
1.7.1.7.2.weight     | nonzeros =     128 /     128             (100.00%) | total_pruned =       0 | shape = torch.Size([128])
1.7.1.7.2.bias       | nonzeros =       0 /     128             (  0.00%) | total_pruned =     128 | shape = torch.Size([128])
1.7.1.7.3.1.weight   | nonzeros =   33492 /   73728             ( 45.43%) | total_pruned =   40236 | shape = torch.Size([64, 128, 3, 3])
1.7.1.7.3.1.bias     | nonzeros =      24 /      64             ( 37.50%) | total_pruned =      40 | shape = torch.Size([64])
1.7.1.7.4.weight     | nonzeros =      64 /      64             (100.00%) | total_pruned =       0 | shape = torch.Size([64])
1.7.1.7.4.bias       | nonzeros =       0 /      64             (  0.00%) | total_pruned =      64 | shape = torch.Size([64])
1.7.2.weight         | nonzeros =      64 /      64             (100.00%) | total_pruned =       0 | shape = torch.Size([64])
1.7.2.bias           | nonzeros =       0 /      64             (  0.00%) | total_pruned =      64 | shape = torch.Size([64])
1.7.3.1.weight       | nonzeros =   11285 /   18432             ( 61.23%) | total_pruned =    7147 | shape = torch.Size([32, 64, 3, 3])
1.7.3.1.bias         | nonzeros =      18 /      32             ( 56.25%) | total_pruned =      14 | shape = torch.Size([32])
1.7.4.weight         | nonzeros =      32 /      32             (100.00%) | total_pruned =       0 | shape = torch.Size([32])
1.7.4.bias           | nonzeros =       0 /      32             (  0.00%) | total_pruned =      32 | shape = torch.Size([32])
2.weight             | nonzeros =      32 /      32             (100.00%) | total_pruned =       0 | shape = torch.Size([32])
2.bias               | nonzeros =       0 /      32             (  0.00%) | total_pruned =      32 | shape = torch.Size([32])
3.1.weight           | nonzeros =    3356 /    4608             ( 72.83%) | total_pruned =    1252 | shape = torch.Size([16, 32, 3, 3])
3.1.bias             | nonzeros =      12 /      16             ( 75.00%) | total_pruned =       4 | shape = torch.Size([16])
4.weight             | nonzeros =      16 /      16             (100.00%) | total_pruned =       0 | shape = torch.Size([16])
4.bias               | nonzeros =       0 /      16             (  0.00%) | total_pruned =      16 | shape = torch.Size([16])
6.1.weight           | nonzeros =      45 /      48             ( 93.75%) | total_pruned =       3 | shape = torch.Size([3, 16, 1, 1])
6.1.bias             | nonzeros =       2 /       3             ( 66.67%) | total_pruned =       1 | shape = torch.Size([3])
alive: 601355, pruned : 2407512, total: 3008867, Compression rate :       5.00x  ( 80.01% pruned)
Initial PSNR of output image is:  12.791375511364931
epoch:  0 loss:  0.06144888326525688 PSNR:  12.791375511364931
epoch:  200 loss:  0.01759307272732258 PSNR:  20.90047036651809
epoch:  400 loss:  0.015596219338476658 PSNR:  22.091279705904327
epoch:  600 loss:  0.014536397531628609 PSNR:  22.852104322127154
epoch:  800 loss:  0.013852358795702457 PSNR:  23.358569561044508
epoch:  1000 loss:  0.013053281232714653 PSNR:  23.998823346211605
epoch:  1200 loss:  0.01249507162719965 PSNR:  24.41408808482404
epoch:  1400 loss:  0.011525762267410755 PSNR:  25.319125511234756
epoch:  1600 loss:  0.010641289874911308 PSNR:  26.17860718786134
epoch:  1800 loss:  0.01014700811356306 PSNR:  26.559711092825165
epoch:  2000 loss:  0.009815716184675694 PSNR:  26.73353680808824
epoch:  2200 loss:  0.00967797078192234 PSNR:  26.638330466367997
epoch:  2400 loss:  0.009318058378994465 PSNR:  26.6908150238015
epoch:  2600 loss:  0.009132632054388523 PSNR:  26.933034531351545
epoch:  2800 loss:  0.008835152722895145 PSNR:  26.992491059093943
epoch:  3000 loss:  0.008786211721599102 PSNR:  26.759211681349445
epoch:  3200 loss:  0.008551986888051033 PSNR:  26.911138923510517
epoch:  3400 loss:  0.00872422382235527 PSNR:  26.526855380657107
epoch:  3600 loss:  0.008442332968115807 PSNR:  26.509859049753878
epoch:  3800 loss:  0.00838889367878437 PSNR:  26.55286957084314
epoch:  4000 loss:  0.00834199134260416 PSNR:  26.294472858541
epoch:  4200 loss:  0.008241791278123856 PSNR:  26.355564811511094
epoch:  4400 loss:  0.008159295655786991 PSNR:  26.33977562392551
epoch:  4600 loss:  0.008146603591740131 PSNR:  26.05919915902271
epoch:  4800 loss:  0.00807259976863861 PSNR:  26.060672982748223
epoch:  5000 loss:  0.007943348027765751 PSNR:  26.24526286142059
epoch:  5200 loss:  0.007975958287715912 PSNR:  25.968360070125417
epoch:  5400 loss:  0.007998926565051079 PSNR:  26.00082373420499
epoch:  5600 loss:  0.007879833690822124 PSNR:  25.966159054255233
epoch:  5800 loss:  0.007924930192530155 PSNR:  25.915431721120953
epoch:  6000 loss:  0.007891912013292313 PSNR:  25.728192192380362
epoch:  6200 loss:  0.007915890775620937 PSNR:  25.63784675944686
epoch:  6400 loss:  0.007710323669016361 PSNR:  25.84279144922007
epoch:  6600 loss:  0.007681730668991804 PSNR:  25.760845734187086
epoch:  6800 loss:  0.007712094113230705 PSNR:  25.781121442724007
epoch:  7000 loss:  0.007630002219229937 PSNR:  25.63096523682406
epoch:  7200 loss:  0.0076536331325769424 PSNR:  25.52485764837149
epoch:  7400 loss:  0.007573876064270735 PSNR:  25.624621816800467
epoch:  7600 loss:  0.0075418525375425816 PSNR:  25.603622260200485
epoch:  7800 loss:  0.007552979979664087 PSNR:  25.486131587851077
epoch:  8000 loss:  0.007496690843254328 PSNR:  25.54468714260898
epoch:  8200 loss:  0.0075173950754106045 PSNR:  25.649227615568584
epoch:  8400 loss:  0.00749469269067049 PSNR:  25.64467799942797
epoch:  8600 loss:  0.0075762346386909485 PSNR:  25.329039488943344
epoch:  8800 loss:  0.007437422871589661 PSNR:  25.45529569084625
epoch:  9000 loss:  0.007464864756911993 PSNR:  25.411674862633898
epoch:  9200 loss:  0.007417624816298485 PSNR:  25.43620689857546
epoch:  9400 loss:  0.007457465399056673 PSNR:  25.343451355042063
epoch:  9600 loss:  0.007428708486258984 PSNR:  25.307104096043634
epoch:  9800 loss:  0.00748837785795331 PSNR:  25.293393349272524
epoch:  10000 loss:  0.0073065245524048805 PSNR:  25.390922375782488
epoch:  10200 loss:  0.0073172603733837605 PSNR:  25.29774680775454
epoch:  10400 loss:  0.007309617009013891 PSNR:  25.315954717150085
epoch:  10600 loss:  0.007308728992938995 PSNR:  25.33043253143502
epoch:  10800 loss:  0.007270398549735546 PSNR:  25.271298810108497
epoch:  11000 loss:  0.007258853409439325 PSNR:  25.281236451395532
epoch:  11200 loss:  0.00725099490955472 PSNR:  25.296124917670802
epoch:  11400 loss:  0.007262815721333027 PSNR:  25.196643244864934
epoch:  11600 loss:  0.007207612041383982 PSNR:  25.241263952700063
epoch:  11800 loss:  0.007335386238992214 PSNR:  25.009733250590877
epoch:  12000 loss:  0.007246662862598896 PSNR:  25.167263095588
epoch:  12200 loss:  0.007208013441413641 PSNR:  25.20653137451214
epoch:  12400 loss:  0.0072034383192658424 PSNR:  25.087765851341466
epoch:  12600 loss:  0.007164183538407087 PSNR:  25.253942211676264
epoch:  12800 loss:  0.007203756365925074 PSNR:  25.24079175524581
epoch:  13000 loss:  0.007247388828545809 PSNR:  24.990522465243693
epoch:  13200 loss:  0.007179567124694586 PSNR:  25.130300516311106
epoch:  13400 loss:  0.007126716896891594 PSNR:  25.10403563999369
epoch:  13600 loss:  0.007165094837546349 PSNR:  25.09204820728044
epoch:  13800 loss:  0.007132580503821373 PSNR:  25.062733212790526
epoch:  14000 loss:  0.007101665250957012 PSNR:  24.9580432989014
epoch:  14200 loss:  0.007124372757971287 PSNR:  25.08193443441764
epoch:  14400 loss:  0.007105422671884298 PSNR:  25.061766570698452
epoch:  14600 loss:  0.0070537724532186985 PSNR:  25.09122620809775
epoch:  14800 loss:  0.007051030173897743 PSNR:  25.011014068212354
epoch:  15000 loss:  0.00708278501406312 PSNR:  25.00731463825144
epoch:  15200 loss:  0.007037085946649313 PSNR:  25.048012014397365
epoch:  15400 loss:  0.0070410845801234245 PSNR:  24.99779425661716
